"","Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"306","Liver","Metabolism","Carbohydrate metabolism","mmu00040","Pentose and glucuronate interconversions","30/5023","36/9577",0.833333333333333,1.58885792023359,3.71742288214905,0.000107743044632341,0.000391277372612187,0.000145647107425436,"394436/75578/16591/72094/11997/68631/394433/20322/100727/71755/552899/110006/14187/216558/112417/71773/394432/231396/22236/58810/22235/394434/94284/243085/394430/394435/75847/11677/22238/94215",30
"307","Liver","Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","74/5023","105/9577",0.704761904761905,1.34371984111184,3.71925154291654,0.000117728947749858,0.000420333748972913,0.000156462905796172,"20183/18035/16180/21803/20848/17127/19883/26415/18036/19697/16183/26417/15251/19401/20851/16150/20181/16190/12394/56717/15980/16797/16177/16451/20182/17126/16161/12504/18803/20850/16476/16176/16151/16195/20852/16452/16194/14281/18033/19885/22637/15516/246779/26419/19055/15519/17128/83430/21813/18761/14999/16171/11622/26420/20846/21812/12503/19058/15979/57765/50931/18021/26416/14462/14961/19057/12675/18018/26413/19059/60505/14960/16364/209590",74
"308","Liver",NA,NA,"mmu04081","Hormone signaling","142/5023","219/9577",0.648401826484018,1.23626205300367,3.71451105385893,0.000118180793189486,0.000420333748972913,0.000156462905796172,"16334/20604/14701/230103/13856/20779/11548/14600/58807/20848/18162/11549/11477/224129/21834/13982/18795/11450/432530/14672/384783/74769/207911/11554/13491/210044/14681/56508/11607/12922/14678/17129/16847/26361/19116/54140/13488/18708/11515/55994/11606/208188/20851/11551/16000/72472/16410/14527/14708/66066/17125/12921/110312/14682/20502/14673/14683/18706/72993/11514/11552/13370/11555/16002/20850/16337/12166/17200/16367/16452/11550/14700/19091/14675/18429/22094/11556/28078/14917/18707/14459/18430/19226/21833/66438/244698/18796/14697/17128/14677/84506/68465/54409/12311/53945/11848/11513/12424/16846/18749/19092/14706/11998/18125/14688/16001/14916/12918/226278/18619/14693/12640/18798/21832/14715/14602/13857/387285/72674/14526/64337/11705/16369/14599/12310/14601/18747/116903/14679/18797/18155/58991/20605/223864/12167/22354/14714/18710/11553/19109/22095/14696",142
"309","Liver","Human Diseases","Drug resistance: antineoplastic","mmu01524","Platinum drug resistance","59/5023","81/9577",0.728395061728395,1.38877951546344,3.69022354317777,0.000132318915312103,0.000465816589619137,0.000173393208035194,"12048/26408/74769/14867/11979/12780/21974/26417/18708/14864/13870/17246/12122/18706/11798/18607/100042314/14102/17688/225884/14858/56615/13063/14859/14082/22590/18707/12189/14103/170770/11799/14869/20529/14872/11796/14863/12367/12028/14871/12015/17686/14860/17685/14865/66447/12371/103140/12370/14857/12578/11977/58801/11651/11797/19714/26413/14862/14870/18710",59
"310","Liver","Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","67/5023","94/9577",0.712765957446808,1.35898060411469,3.67315436675677,0.000142094635655062,0.000490770521778881,0.000182681933354763,"22371/110382/14161/19128/14066/50908/12630/14068/12509/18816/56373/20703/58992/12268/17175/232345/12263/14962/12628/625018/12902/17194/12266/14061/14062/15160/16621/12279/18815/20702/20701/20704/17195/109821/50702/16414/22370/17174/12759/99571/12258/14058/230558/16409/11905/20700/12269/14060/18787/385643/50909/69379/13137/15139/268591/14071/20720/545366/110135/16644/21788/667277/22789/19123/16415/12273/12274",67
"311","Liver","Human Diseases","Cancer: specific types","mmu05221","Acute myeloid leukemia","52/5023","70/9577",0.742857142857143,1.4163533460368,3.67169397554024,0.000142252325153299,0.000490770521778881,0.000182681933354763,"21416/12443/19015/20848/17869/74769/19697/14784/16590/26417/18708/110157/20663/19401/20851/16150/12394/21415/16480/56717/12606/67603/20662/235320/18706/20850/16151/18033/12427/110794/16409/21414/18707/18627/16842/18712/12015/12475/11836/16653/12047/12046/72508/11651/16187/15461/12675/109880/26413/12978/18854/18710",52
"312","Liver","Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","62/5023","86/9577",0.72093023255814,1.37454685192301,3.66417776272328,0.000147324517983835,0.000498303516710032,0.00018548597723455,"16438/20779/53857/224129/15558/18795/432530/14672/11554/210044/22146/14678/16439/14784/13488/26417/54195/110157/11515/20663/26405/22151/12534/239134/13649/18750/14682/22144/20662/14683/18595/54635/18751/11514/18590/104318/19091/18796/18596/21872/14677/13645/23938/67951/11513/18749/22147/19092/22154/22145/14609/16653/18798/15461/18747/14679/18752/18797/26413/14745/234889/16440",62
"313","Liver","Human Diseases","Cardiovascular disease","mmu05412","Arrhythmogenic right ventricular cardiomyopathy","62/5023","86/9577",0.72093023255814,1.37454685192301,3.66417776272328,0.000147324517983835,0.000498303516710032,0.00018548597723455,"12386/21416/12289/12294/20191/12298/12558/12297/11461/16399/16402/244431/16419/11938/319480/16410/20648/21415/16480/13511/12299/67451/12385/54377/16773/16905/54376/319734/24052/20649/12288/21414/216033/13138/109700/12387/16772/16842/12295/213119/13506/13405/16412/109620/20391/140723/16403/18125/20541/81904/53313/14609/12292/12293/24053/104099/16651/11472/16404/16401/16421/192897",62
"314","Liver","Organismal Systems","Environmental adaptation","mmu04713","Circadian entrainment","70/5023","99/9577",0.707070707070707,1.34812187171335,3.65651786502288,0.000151977269874108,0.000509050078704536,0.00018948622304181,"12323/108058/12289/16438/12325/14701/20191/70729/14813/14811/224129/18795/432530/210044/14681/14678/26417/54195/11515/239134/14708/66066/271639/18750/14682/14683/18751/11514/12314/12288/14700/14281/19091/18627/18796/14697/20192/14677/11513/18749/19092/14706/18125/73086/14688/11517/12291/11516/14693/14810/239556/18798/16522/18626/16521/20190/58226/14812/64337/18747/14679/18752/18797/26413/53623/14800/244701/234889/16440/14696",70
"315","Liver","Metabolism","Lipid metabolism","mmu00120","Primary bile acid biosynthesis","17/5023","18/9577",0.944444444444444,1.8007056429314,3.57091946434259,0.000154462648393801,0.000512400131690976,0.000190733229798014,"208665/93732/56050/20280/12642/13122/26459/209186/17117/104086/12012/230161/13123/13124/15488/170789/101502",17
